"company_name","bloom_field","bloom_postings","total","cum_postings","cum_share","n_companies","company_index","company_share"
"credit suisse","Machine Learning AI",260,34632,6588,0.200645672169093,2578,17,0.00659425911559348
"ernst & young","Machine Learning AI",256,34632,6844,0.208442468173235,2578,18,0.00698215671062839
"scandit","Smart devices",255,24824,3641,0.159113752567408,2641,9,0.00340780007572889
"scandit","Machine Learning AI",253,34632,7097,0.216147895474204,2578,19,0.0073700543056633
"addexpert gmbh","Cloud computing",252,68768,17086,0.270155743537039,4399,37,0.00841100250056831
"lionscout group","Cloud computing",252,68768,17338,0.274140248240968,4399,38,0.00863832689247556
"veeva systems","Cloud computing",252,68768,17590,0.278124752944897,4399,39,0.00886565128438281
"sophia genetics","Machine Learning AI",248,34632,7345,0.223701041603216,2578,20,0.00775795190069822
"oracle","Cloud computing",247,68768,17837,0.282030200015812,4399,40,0.00909297567629007
"softwareone","Cloud computing",246,68768,18083,0.285919835560123,4399,41,0.00932030006819732
"ibm","Machine Learning AI",244,34632,7589,0.231132362794664,2578,21,0.00814584949573313
"scandit","Virtual Reality",243,4164,1075,0.265628860884606,453,3,0.00662251655629139
"amazon","Machine Learning AI",240,34632,7829,0.238441859048547,2578,22,0.00853374709076804
"die schweizerische post","Smart devices",237,24824,3878,0.169470786173142,2641,10,0.00378644452858766
"kone","Smart devices",237,24824,4115,0.179827819778875,2641,11,0.00416508898144642
"cyberunity ag","Cloud computing",234,68768,18317,0.2896197327852,4399,42,0.00954762446010457
"manpower","Solar Power",233,7667,697,0.110934267069871,744,2,0.00268817204301075
"pix4d","Cloud computing",233,68768,18550,0.293303818483675,4399,43,0.00977494885201182
"coberonchronos consulting","Machine Learning AI",230,34632,8059,0.245446792958519,2578,23,0.00892164468580295
"hays","Cloud computing",228,68768,18778,0.296908846549134,4399,44,0.0100022732439191
"aws emea sarl (switzerland)","Machine Learning AI",224,34632,8283,0.252268989462143,2578,24,0.00930954228083786
"avanade","Smart devices",222,24824,4337,0.18952934492855,2641,12,0.00454373343430519
"sintratec ag","3d printing",220,2181,220,0.104463437796771,335,1,0.00298507462686567
"swiss re","Machine Learning AI",220,34632,8503,0.258969361028202,2578,25,0.00969743987587277
"elca informatik ag","Cloud computing",218,68768,18996,0.300355759348565,4399,45,0.0102295976358263
"verity","Machine Learning AI",217,34632,8720,0.265578363891089,2578,26,0.0100853374709077
"ictjobs (stellenmarkt)","Cloud computing",216,68768,19212,0.30377104909479,4399,46,0.0104569220277336
"bechtle","Cloud computing",215,68768,19427,0.307170527314412,4399,47,0.0106842464196408
"universal-job","Cloud computing",206,68768,19633,0.310427701794608,4399,48,0.0109115708115481
"bearingpoint","Cloud computing",205,68768,19838,0.313669064748201,4399,49,0.0111388952034553
"pwc","Machine Learning AI",197,34632,8917,0.271578242066151,2578,27,0.0104732350659426
"richemont","Cloud computing",193,68768,20031,0.31672068938256,4399,50,0.0113662195953626
"sygnum bank ag","Cloud computing",193,68768,20224,0.319772314016918,4399,51,0.0115935439872698
"open systems ag","Cloud computing",190,68768,20414,0.322776504071468,4399,52,0.0118208683791771
"siemens","Cloud computing",190,68768,20604,0.325780694126018,4399,53,0.0120481927710843
"pxl vision ag","Machine Learning AI",189,34632,9106,0.277334470366084,2578,28,0.0108611326609775
"epam systems","Cloud computing",187,68768,20791,0.328737449600759,4399,54,0.0122755171629916
"yokoy group ag","Machine Learning AI",187,34632,9293,0.283029786197235,2578,29,0.0112490302560124
"boston consulting group","Machine Learning AI",186,34632,9479,0.288694645793994,2578,30,0.0116369278510473
"dell technologies","Machine Learning AI",186,34632,9665,0.294359505390754,2578,31,0.0120248254460822
"tiger","Solar Power",185,7667,882,0.140378799936336,744,3,0.00403225806451613
"swisscom (schweiz) ag","Cloud computing",184,68768,20975,0.331646770495691,4399,55,0.0125028415548988
"hoval ag","Smart devices",181,24824,4518,0.197439146964996,2641,13,0.00492237788716395
"decentriq","Cloud computing",172,68768,21147,0.334366353071389,4399,56,0.0127301659468061
"google emea","Machine Learning AI",172,34632,9837,0.299597977706036,2578,32,0.0124127230411171
"locatee ag","Cloud computing",168,68768,21315,0.337022689540675,4399,57,0.0129574903387133
"rm it professional resources ag","Cloud computing",167,68768,21482,0.339663214483358,4399,58,0.0131848147306206
"mygwork","Cloud computing",166,68768,21648,0.342287927899439,4399,59,0.0134121391225278
"roche","Smart devices",165,24824,4683,0.204649739981646,2641,14,0.00530102234002272
"kollabo ag","Solar Power",164,7667,1046,0.166480980423365,744,4,0.00537634408602151
"crossover for work","Cloud computing",160,68768,21808,0.344817772155902,4399,60,0.0136394635144351
"eth zürich","Machine Learning AI",160,34632,9997,0.304470975208625,2578,33,0.0128006206361521
"ava ag","Smart devices",156,24824,4839,0.21146702792466,2641,15,0.00567966679288148
"frontify","Cloud computing",156,68768,21964,0.347284370305953,4399,61,0.0138667879063424
"afry","Cloud computing",153,68768,22117,0.349703533876196,4399,62,0.0140941122982496
"iet sa","Cloud computing",153,68768,22270,0.352122697446438,4399,63,0.0143214366901569
"apple","Smart devices",152,24824,4991,0.218109513612726,2641,16,0.00605831124574025
"numbrs personal finance ag","Machine Learning AI",152,34632,10149,0.309100322836085,2578,34,0.013188518231187
"modis","Cloud computing",151,68768,22421,0.354510237963475,4399,64,0.0145487610820641
"cognizant","Machine Learning AI",146,34632,10295,0.313546933057197,2578,35,0.0135764158262219
"nordwand group ag","Cloud computing",143,68768,22564,0.356771286267689,4399,65,0.0147760854739714
"caduff haustechnik ag","Smart devices",142,24824,5133,0.224314993663418,2641,17,0.00643695569859902
"pitcher ag","Cloud computing",142,68768,22706,0.3590165230453,4399,66,0.0150034098658786
"talan","Machine Learning AI",142,34632,10437,0.317871718340744,2578,36,0.0139643134212568
"university of basel","Machine Learning AI",141,34632,10578,0.322166047389901,2578,37,0.0143522110162917
"xorlab ag","Cloud computing",141,68768,22847,0.361245948296308,4399,67,0.0152307342577859
"united nations","Machine Learning AI",140,34632,10718,0.326429920204666,2578,38,0.0147401086113266
