"nuts_2","Grossregion","total_postings","bloom_postings","regio_bloom_share","ch_bloom_share"
"CH04","zurich",899521,87922,0.0977431321781259,0.436244374649578
"CH07","ticino",32706,2884,0.0881795389225219,0.0143096014250061
NA,NA,210406,16344,0.0776783932017148,0.0810943570354713
"CH01","région lemanique",334350,25078,0.0750052340361896,0.124430022377359
"CH0",NA,3211219,201543,0.0627621473340809,1
"CH03","northwestern switzerland",433964,19756,0.0455245135541197,0.0980237467934882
"CH06","central switzerland",373018,16559,0.0443919596373365,0.0821611269059208
"CH02","espace mittelland",569824,23413,0.0410881254562812,0.116168758031785
"CH05","eastern switzerland",357430,9587,0.0268220350837926,0.0475680127813916
